year,month,social_buzz,search_interest,influencer_posts,price_index,sustainability_score,trend_momentum,trend_score,season_spring,season_summer,season_winter,category_denim,category_formal,category_luxury,category_streetwear,category_sustainable,category_vintage,region_EU,region_LATAM,region_NA
2023,9,-0.9448896176022599,39.60379172017688,16.25847423578245,90.85212523481228,0.38284861305612716,1.1687893483087053,91.71577696656036,False,False,False,False,False,False,False,True,False,True,False,False
2023,6,-0.7655879132883234,40.471489533165055,8.392697928124115,107.58623499374961,0.9137623600829763,-2.164083689587723,60.58165578186592,False,True,False,False,False,False,False,False,False,False,True,False
2023,11,0.9272505073458861,62.567800233022055,8.614461914982918,109.53519875343076,0.779459849508699,0.08733681890629923,100.0,False,False,False,False,False,False,False,True,False,True,False,False
2024,2,1.7707977217275628,49.36779779430964,17.762543995867507,111.24932844073852,0.5133657465537141,-0.48714297656389544,87.04272456819531,False,False,True,False,True,False,False,False,False,False,False,False
2021,3,0.48030781722418714,34.307266704041176,7.560279940021202,103.52695477158426,0.8736077615747715,-1.9240211990303109,71.60554897491824,True,False,False,False,False,False,False,True,False,True,False,False
2018,4,-0.8974207207714328,24.727057467363128,12.329990547859037,81.95144900570983,0.40903694288969095,-1.33716777999237,61.19685922375192,True,False,False,False,False,True,False,False,False,False,False,True
2024,2,0.33893852246206824,62.47747178144569,12.095888066782596,94.91994776650287,0.5870061621847411,-0.5677744596409467,84.28988613875192,False,False,True,False,True,False,False,False,False,False,False,True
2021,4,2.4274720443376094,41.798323666036644,10.804155855447618,110.59724541238906,0.3202352107174623,0.05881501998245523,88.7017306239735,True,False,False,True,False,False,False,False,False,False,True,False
2021,4,0.1024228107189117,54.955816334839724,13.004903836525791,112.98443390946842,0.8823824661342539,1.0081028602641444,93.01040686334909,True,False,False,False,False,False,False,False,True,True,False,False
2020,10,1.4618408593935994,68.59560360603686,10.87890261195862,110.90118194405795,0.253470373645424,0.3543481150820647,100.0,False,False,False,False,True,False,False,False,False,False,False,True
2018,4,-0.740329365838712,30.366132847197722,7.344160024635797,98.1099802818416,0.29072049467281164,0.9475394371676528,72.80491796122982,True,False,False,False,True,False,False,False,False,True,False,False
2025,11,-0.04208605163638678,49.322939292307325,10.695909838878304,89.54739306740348,0.4357516407289834,0.026724335847262387,89.77435904429643,False,False,False,True,False,False,False,False,False,False,False,False
2024,10,0.6195652061255426,47.43958780671696,11.03383358152816,99.67494728033215,0.7880182614417091,-0.7049459469369983,77.26813561264309,False,False,False,False,False,False,False,True,False,False,False,False
2022,11,0.3973283082628641,55.69614313441941,11.271473474454757,100.1184561458421,0.7218720794941994,-0.1837499538705739,76.98974430466708,False,False,False,False,False,False,True,False,False,True,False,False
2020,2,-0.7663886801111608,68.58739997630653,11.33120119230549,112.52451856073162,0.5719691130812392,0.695517347469211,77.32465546008687,False,False,True,False,True,False,False,False,False,False,True,False
2024,12,-0.8095174571305996,30.058222780063883,9.073450056528968,101.82233040097769,0.7334067180101131,1.0325621693267832,73.18435563301198,False,False,True,False,True,False,False,False,False,False,False,False
2021,8,0.9882844031026585,58.546969230586505,7.868402831925222,100.13344943104617,0.5292255295519932,-0.1478746844438469,86.40416315937078,False,True,False,False,False,False,False,False,True,False,False,False
2020,12,1.191550812650145,65.47285662490552,9.534469322846064,100.58796118514768,0.6260371802682394,-0.9291152623830385,79.66812935544668,False,False,True,False,True,False,False,False,False,False,False,True
2021,5,1.51214355812192,47.20434404064826,12.478269724664075,103.1988706381015,0.847310693618101,0.3356581594872362,100.0,True,False,False,False,False,True,False,False,False,False,False,True
2019,12,1.8039304832528678,47.93829510660315,9.022200101409629,105.01152068849255,0.5056086028232416,0.47798096384222044,96.0211684595987,False,False,True,False,False,False,False,False,True,False,True,False
2017,8,0.13461943632259646,56.276740534773836,6.013922593710559,94.20370052785603,0.41205292826109297,1.2327190860531176,94.60754389536187,False,True,False,False,False,True,False,False,False,True,False,False
2021,1,-0.3111992442315934,55.17225616834682,4.456835282102856,91.53903684299544,0.6346669085788583,-0.6787628729596047,69.03767631889484,False,False,True,False,False,False,False,False,False,True,False,False
2024,5,1.3509909387784689,58.73528911050684,8.703111104477394,110.96446817123758,0.6832493753484792,-0.667797254265687,86.05680318445197,True,False,False,False,False,False,False,False,False,True,False,False
2017,2,0.7130692818515867,58.41920789601825,15.852710348238583,86.87166964451453,0.5698805926861502,0.7561601975395755,100.0,False,False,True,False,False,False,True,False,False,False,False,True
2024,12,-0.9824552586675914,35.27041541576523,10.555383669879854,113.10197967363818,0.7306086364670858,-0.40743357100910893,62.13768261117172,False,False,True,False,False,False,True,False,False,False,False,False
2024,4,-1.0336356655189114,64.85399746557415,14.483199089063753,84.71457042197041,0.5137733554779679,-0.4496841826791043,77.31605348066823,True,False,False,False,False,True,False,False,False,False,False,True
2019,3,0.4919302013563091,67.50174743285358,12.368196432751981,95.32367093735184,0.5729582817250286,1.2541398701402435,95.2021395078079,True,False,False,False,False,False,False,True,False,False,False,False
2022,7,-0.17727466148399962,52.79124340535447,10.688301822322877,107.77483176466758,0.6174234788614498,-1.3710056062811726,67.83409258160289,False,True,False,False,False,False,False,True,False,True,False,False
2018,6,-0.02642995474069754,27.587670401755,12.752910318420374,100.00273511262618,0.60172498684674,2.056203139775511,96.92356446381831,False,True,False,False,False,False,True,False,False,False,False,True
2023,2,1.0725333647101947,48.27881440999864,11.895825469386999,89.46818556990527,0.840388893271993,-0.6126354131078269,75.2612192910542,False,False,True,False,True,False,False,False,False,False,False,True
2023,10,0.7590371449850357,52.91608815410852,14.64534812208397,103.41142523300798,0.6165201250000598,0.8667284028007121,97.78903585349092,False,False,False,False,False,False,True,False,False,False,False,False
2020,11,1.3298732484184317,32.83099643319774,11.93018402425183,100.53603473440386,0.49529761571415687,-0.10879966192537474,80.16681468616616,False,False,False,False,False,False,False,False,True,False,False,True
2017,9,-1.9315361063733665,44.597929046344795,10.495560283483579,98.27161369246417,0.6450367062683822,0.27136228487213593,60.94993588853864,False,False,False,False,False,False,True,False,False,False,False,True
2025,8,0.2533979172212008,28.859459186621873,9.295501428159016,95.00862167373674,0.7315931512486228,-0.2627864997617623,76.83701059123202,False,True,False,True,False,False,False,False,False,False,False,False
2021,5,0.6946885223972068,59.10938337479666,7.4867102018675675,99.7231520037552,0.6893623794733832,0.8565766520329738,92.74231638184547,True,False,False,False,False,False,False,False,False,True,False,False
2025,7,-1.526585856687684,52.48932972353077,18.804621438254618,95.34462710438116,0.6793853628093363,-0.34732387401956655,76.7655650123586,False,True,False,True,False,False,False,False,False,True,False,False
2023,7,-0.6548956413099721,25.313252527786332,5.4470258959917714,119.47626135079327,0.2803509741674738,-0.5729464718451013,48.59836308299432,False,True,False,False,False,True,False,False,False,False,False,True
2024,2,-0.840485162328919,55.271972923729706,12.890751577332495,98.07986278546582,0.10134772896874117,1.8133418258699916,78.41450043335045,False,False,True,False,False,False,False,True,False,False,False,False
2023,1,0.021698171059916185,49.152365789145634,10.139504568446972,97.00994436944711,0.7795476169517124,0.029382697013691877,93.30965467813357,False,False,True,False,False,False,False,False,False,False,False,True
2018,4,1.6278539686940638,57.746214241316075,19.86060620546656,95.66691083609768,0.6289943403171038,-0.6756955610195405,100.0,True,False,False,False,False,False,False,False,True,False,False,True
2020,6,2.0225894046649007,44.127013493668585,6.02362387592725,114.21560674270555,0.5461160650092515,-1.4902865899118987,77.58690324751328,False,True,False,False,True,False,False,False,False,False,False,True
2021,2,-0.8142875530732823,37.97780898885463,9.994388295016451,86.88746497683547,0.6749763450004279,1.8655780310359804,79.52140045918715,False,False,True,False,False,False,False,True,False,False,False,True
2021,2,0.5265572504935742,38.4373306031329,7.375928245538023,102.87545937519535,0.8969157884198644,-0.5519253764552517,76.52480630194714,False,False,True,False,False,False,False,True,False,False,False,True
2017,11,0.5587978521423151,41.92744675177393,13.486802110083026,98.08568022498876,0.804435609852354,2.0618382385011476,94.29473986692997,False,False,False,False,False,False,False,False,True,False,False,True
2021,5,0.38762577151474775,50.28237644871571,13.749486086702847,88.61279916286391,0.7231997031043524,0.3988543514128821,100.0,True,False,False,False,False,False,False,False,False,False,False,True
2018,8,0.39897963473923403,52.21937698137188,14.611468278931834,93.44738937709508,0.3903893860901242,0.14288520030245128,85.52739907098525,False,True,False,False,False,False,False,False,False,True,False,False
2023,7,0.30374250245132806,47.139201832878456,11.71959162260949,102.53563195124666,0.41377765546542233,0.16984381232799758,66.98696908769429,False,True,False,False,False,False,False,False,False,False,False,False
2023,9,1.6875701208064198,43.65020676505221,13.145317290610386,93.0848542427513,0.12044715735381284,2.2159509392766945,100.0,False,False,False,False,False,False,False,False,False,False,False,True
2025,9,1.1024665143680576,44.72895097991778,15.395164360308756,102.07651142576034,0.6640324252992856,-2.1922185694208616,79.58355466167892,False,False,False,True,False,False,False,False,False,False,False,True
2023,4,-1.0601538975982672,87.61587178260399,15.4197570637733,113.83322582949081,0.7495528955430099,0.21434151950750518,85.48383545274375,True,False,False,False,False,False,False,False,True,False,True,False
2020,11,0.7957210808805493,38.439122727526865,12.265456205889118,101.36480541773868,0.7642320483144722,-0.2652036075300573,92.15438633424928,False,False,False,False,False,False,False,False,True,False,True,False
2025,5,0.8923733745114522,41.63041987180711,3.5615563573116775,88.37190017180403,0.6715774848298197,-0.213093385083063,57.74736569801118,True,False,False,False,True,False,False,False,False,False,False,False
2020,11,0.3149672871517889,99.40781162552221,12.909641951274018,93.22562990522488,0.5222679655190836,0.14931185214190373,100.0,False,False,False,True,False,False,False,False,False,False,False,True
2019,5,1.1314243705027294,56.31519953690829,15.836603878460807,97.71675409003791,0.44843005685617415,-0.2662541494961267,100.0,True,False,False,False,False,False,False,True,False,True,False,False
2025,2,0.18807403429903718,29.300290011444563,19.796343649313314,97.18211904804272,0.40143433670366235,0.1881306671883057,76.21431257159614,False,False,True,False,False,False,False,False,True,False,False,True
2020,10,0.20046772107625074,62.64030805965895,13.816380938840346,101.21611076092735,0.5205835271502642,-0.02357746215505412,86.681405585779,False,False,False,False,False,False,False,False,False,False,False,True
2017,1,0.1212405446770433,36.34941666198279,12.518914471954401,102.49954353662453,0.3739912742986393,-1.313558178184649,67.18955734207509,False,False,True,False,True,False,False,False,False,True,False,False
2021,10,-2.018244085799669,63.63592261707646,10.537660340990955,113.84422364095087,0.8660717317015456,0.3813660378108791,78.79887751443448,False,False,False,False,False,False,False,True,False,True,False,False
2024,1,-0.080398393905874,46.83556580943978,12.421255454503216,99.97024267929685,0.3155731204481919,0.7160544516995808,74.63192496458933,False,False,True,False,False,False,False,False,False,True,False,False
2018,3,-0.6682505744545707,43.40306225765889,12.726924972929574,90.78244442499272,0.5145304101599399,-0.5420656175080836,60.53351136739727,True,False,False,False,False,True,False,False,False,True,False,False
2021,8,-1.1864479781925572,74.13747453241375,18.151057703826616,109.23044904198854,0.20148068558244275,1.8678960782240706,100.0,False,True,False,False,False,False,False,False,True,False,False,True
2018,12,1.4340182847395226,58.496020289888676,13.991931919643463,110.1041966142482,0.6033798750336518,1.3355717456640939,100.0,False,False,True,False,False,False,False,False,True,False,False,True
2023,5,0.5042075185344578,64.59484156173811,11.827777979228596,101.85954475204775,0.5495709322437166,0.8439522991711713,97.39140559731307,True,False,False,False,False,False,False,False,True,False,False,False
2021,2,-0.029831080944547807,56.5237951927992,14.045796920948929,98.02884483832831,0.48577773634488297,0.8318207440280142,92.07332423939431,False,False,True,False,False,False,False,True,False,False,False,False
2019,3,-0.5648033511024263,43.33333214310352,10.29593510837645,104.98037122039248,0.38209901211459035,0.030096952609887723,77.87569737010419,True,False,False,False,False,False,False,False,False,False,False,True
2019,11,0.2961695846287402,59.17031630387312,18.485481447179534,98.31136149056375,0.550443130405771,1.1413721047344205,100.0,False,False,False,False,False,False,False,False,False,True,False,False
2022,9,0.9914360933175131,68.13823089026691,16.83014150833618,83.55432856978013,0.4519970397974372,1.5707546120621019,91.62521889116708,False,False,False,False,True,False,False,False,False,False,False,True
2023,2,-0.8269658435469408,52.0210706527633,9.41241225361618,104.50779426377973,0.5253637799139996,0.8080240128119485,67.97338003050638,False,False,True,False,True,False,False,False,False,False,False,True
2025,5,-0.0048283722766100075,77.02463906519759,10.865061099537836,107.13801181579662,0.9023374003452387,-0.5702833418123653,84.0520411756876,True,False,False,False,True,False,False,False,False,False,False,False
2020,4,0.8680664988511725,62.757308048028634,9.512087518796516,111.52869784303464,0.5809918988606625,-0.03968143828660047,88.07031244065668,True,False,False,True,False,False,False,False,False,False,False,True
2018,3,-1.93600112908413,53.179738246574175,9.037036830546654,94.15393245637948,0.645916097435326,0.5736700329760898,75.90544426626391,True,False,False,False,False,True,False,False,False,True,False,False
2024,11,-0.05756976240540404,53.77229796526727,21.33034166301276,101.80932252689018,0.466396340377511,0.8377449040461442,84.13366369382936,False,False,False,False,False,False,False,True,False,True,False,False
2022,8,-0.4292913705475386,52.05855693451437,13.501893251367136,101.98239646282386,0.4088016082585429,-0.07747721454355075,70.66736291510192,False,True,False,False,False,False,False,False,False,False,False,True
2023,3,-0.13382985775503398,31.231418216075127,17.309811656485397,100.68306047763052,0.5458676115792435,-0.5668085471070716,73.03083119614578,True,False,False,False,False,False,False,False,False,False,False,True
2017,8,-0.501628556371903,48.64891706287092,11.748286114598853,100.91884830628972,1.0,1.5842069873778322,90.81748147351115,False,True,False,False,False,False,True,False,False,False,False,True
2019,5,0.1376246052072956,53.31779728011751,9.039161659722552,100.29708812301573,0.49826301491908714,-1.0723197145189576,83.3977618658531,True,False,False,False,False,False,False,False,False,False,True,False
2023,1,1.923627220422718,43.75872318100207,12.623364512826987,101.69399521266253,0.6150588046056681,-0.9413317556329183,100.0,False,False,True,False,False,False,False,True,False,True,False,False
2024,6,-0.323922473928551,55.06515528057042,9.906448332492172,105.92544827196282,0.40088826728370286,-1.3271278095014138,67.40005254884608,False,True,False,False,False,True,False,False,False,True,False,False
2020,3,0.29171100909410663,50.31961235532667,12.155154636835318,109.76230019667453,0.054051033087684996,-0.9435508196243241,80.51932209703082,True,False,False,False,False,False,False,False,False,False,False,True
2024,3,1.9947464184091128,61.60537836648153,13.182600445317142,93.94934063445089,0.40783036025230196,1.2473448771190034,100.0,True,False,False,False,False,False,False,True,False,True,False,False
2024,11,-0.5500155783725553,59.946685715985964,2.9559462727040624,98.62158916169454,0.9785277149236771,1.2808327565132032,86.06601929883583,False,False,False,False,True,False,False,False,False,False,False,True
2020,9,1.814675348928969,52.50729931377262,18.942015826979432,96.61913504089874,0.657170253050458,-0.07404553446516982,100.0,False,False,False,False,False,False,True,False,False,True,False,False
2025,2,0.005323006627107235,29.491806630470027,15.18026800895145,95.47462114239953,0.8453663561896214,0.49631439555678053,80.38801504067311,False,False,True,False,False,False,False,False,False,False,False,False
2019,11,1.7818962258649262,76.86084108021755,14.172111064192803,87.0717486775518,0.4874099977122444,-0.010504577623915934,100.0,False,False,False,False,False,False,True,False,False,True,False,False
2019,7,0.7502011249463191,47.87163502143285,14.473929328136233,100.1937796468237,0.12577040132380107,-1.191976825952955,71.23139049783578,False,True,False,True,False,False,False,False,False,False,False,True
2023,11,0.3071083625824217,48.78670319457302,14.92853386343862,103.8345629563623,0.35043237937675986,2.2181070076744334,98.58163093564144,False,False,False,False,False,False,False,False,False,False,False,True
2022,9,-0.06563068188658654,44.862187269509185,11.407120965237242,98.75920198480902,0.6214644569879504,1.374739965069977,83.14922168869676,False,False,False,False,False,False,True,False,False,False,False,True
2018,5,-0.6240414398792106,42.67382515901695,12.845049958158196,99.92833682882332,0.5927704949685612,0.3544194053297085,79.98325198530858,True,False,False,False,False,False,True,False,False,True,False,False
2024,7,0.07579154996435276,73.16087072000786,13.260119109439673,103.34749542327305,0.5481237166159189,-0.8558899223922698,92.72637449219917,False,True,False,True,False,False,False,False,False,False,True,False
2018,7,0.8973614590200242,70.7906648057912,9.64864420135727,111.28895756130905,0.45455517776146265,-0.22493437716977951,89.04324165565984,False,True,False,False,False,False,True,False,False,False,False,True
2024,9,-0.013111430996670575,56.66590105366506,10.07793136562016,96.64188376381571,0.719148823624584,-0.692425551419969,75.60006610502697,False,False,False,False,False,False,False,True,False,True,False,False
2017,3,-0.3166228050618577,48.38749768353912,15.254911009678144,90.62710308532888,0.45975759867982696,0.09758224092846901,90.64830372268074,True,False,False,False,False,False,True,False,False,False,False,False
2024,4,-0.2507825341777729,59.286769775206295,16.118066216513395,99.27647882405108,0.6054070366292861,0.3099231745993484,96.81078812696143,True,False,False,True,False,False,False,False,False,False,False,True
2024,3,0.9924766135830533,51.10695472654059,12.514895671963393,115.06849010695956,0.5851590697058687,-0.3411254938103623,77.45170599099208,True,False,False,False,False,True,False,False,False,False,False,True
2024,4,1.2251614550998557,47.146656225153514,10.72756989129991,90.7127955325729,0.4836695601948018,-1.4544127529070021,85.48542083673222,True,False,False,False,False,True,False,False,False,False,False,True
2022,2,-0.6671505137683704,55.071588822594954,14.545066267973251,105.20108556464227,0.39136671081287866,2.132058985715884,92.63758215366614,False,False,True,False,False,False,True,False,False,False,False,False
2021,1,-0.6685878574474897,43.38263379581833,10.302459818904044,109.26330583428091,0.47308058438986705,0.23752674683135086,66.63382957841718,False,False,True,False,False,False,False,True,False,True,False,False
2023,12,0.3793589196671123,53.78396396005149,8.326883569741286,81.07572624484592,0.8872519208855945,0.45659200019442725,89.66768795019391,False,False,True,False,False,False,False,False,True,False,False,False
2019,1,1.5275320647572548,53.06331388432453,11.46983460728038,103.28178018886788,0.7502406153879121,-0.42240938607498574,84.41219886095774,False,False,True,False,False,False,True,False,False,False,False,False
2024,11,1.14599030831256,59.044040318868866,10.339638824402018,104.82728509658476,0.7336699716307562,-1.5620111153292136,86.10329588210186,False,False,False,False,False,False,True,False,False,False,False,False
2022,1,-1.2518522121799116,40.71294563786587,13.810862112700455,97.86131838896117,0.4084365327805334,-0.08330053089783662,54.76603145170222,False,False,True,False,False,False,False,False,True,False,True,False
2021,10,-0.2640759699918621,60.65204529314811,14.60709943436961,94.82849151128227,0.2912159308659599,-0.3232220089869004,87.81285356901836,False,False,False,False,True,False,False,False,False,False,False,False
2021,4,-0.9306035546895123,36.40532760574242,15.171743313755009,95.27470117980816,0.7473689588365517,0.7095343807195772,87.40940235999084,True,False,False,False,False,False,True,False,False,False,False,False
2022,7,-0.26751252191525826,41.41150022568142,12.640891529569677,97.37145203299502,0.71285810688099,0.9060775733761699,83.1980401689289,False,True,False,False,False,False,False,False,False,False,False,False
2017,4,1.6044099960353544,42.06612411281384,11.8862860018335,97.58323174649779,0.5747048158028595,0.7650294797093706,100.0,True,False,False,True,False,False,False,False,False,False,False,False
2018,6,-1.4226006487830172,33.91922341439483,14.588320647834307,96.07378365794587,0.4833028202349771,0.9882723359171489,63.58817044194578,False,True,False,False,False,False,False,True,False,False,False,False
2019,6,-1.6188652932801901,65.23493425078495,15.888824612954076,97.24419797854043,0.28648996223769435,1.8036658074765983,79.14494263610939,False,True,False,True,False,False,False,False,False,False,True,False
2018,7,-0.8285541534336024,35.46421285715304,8.197628698780592,109.52633459077302,0.7061320799881304,0.38985173953555596,55.66919381502621,False,True,False,False,False,False,False,False,True,True,False,False
2020,5,0.2873106025759928,39.51625493889992,18.44822178383912,90.28456976867892,0.7635043206938638,1.0992158208098344,100.0,True,False,False,False,True,False,False,False,False,False,False,False
2023,7,0.6207548206407568,68.83111565729963,11.653876825192553,86.00753261382728,0.427763362871585,0.4938605738357284,100.0,False,True,False,False,False,False,False,False,False,True,False,False
2022,10,0.4374484348615332,41.44125947219524,4.687089394149507,109.65428085787453,0.4127320718668679,-1.9000353999779174,47.67269457140286,False,False,False,False,False,True,False,False,False,False,False,False
2021,6,1.1756854032310164,47.17785972292855,13.716160088958624,98.46385792527535,0.7733911465015846,-0.15452028268770893,88.02822654726418,False,True,False,False,False,True,False,False,False,True,False,False
2024,5,-1.7630855942339292,34.81956498625196,12.948458408748957,96.89414166013971,0.4344643966791733,-0.8677115069037835,61.24576402185145,True,False,False,False,False,False,False,False,False,False,False,False
2022,2,1.188336538358937,62.49426811434027,8.090157308962812,99.11026301013865,0.8702308374141489,0.23143333070436067,98.35379800155147,False,False,True,False,False,False,True,False,False,False,False,False
2017,5,-0.3120953200462915,62.70104366286598,12.374631046262335,101.67421360623301,0.5303706835841723,-0.791010159313637,78.12609461900931,True,False,False,False,False,True,False,False,False,False,True,False
2023,2,0.7314943098048676,61.084188561851704,12.325147895455594,95.80759018305308,0.48041889276400307,0.6056808900303366,91.72480366487106,False,False,True,True,False,False,False,False,False,False,False,True
2022,3,-1.3234254267632044,58.062947422909154,10.948346481677234,104.04744902117842,0.5581194402184114,0.9810280981395949,89.73926641687282,True,False,False,False,False,False,True,False,False,False,False,False
2022,12,0.004956697009070176,51.10383666529215,11.054365081263853,92.30189940952883,0.48040628781447653,1.2035700460201588,77.194451861923,False,False,True,False,False,True,False,False,False,False,False,False
2022,2,0.23627077058901358,42.134349995930236,11.252689443226533,97.58539057720651,0.7527182295425827,1.6192615615242674,89.3384652819762,False,False,True,True,False,False,False,False,False,False,True,False
2021,6,1.1557510374984181,37.775460400009685,15.555893219290493,82.28242995772197,0.7094458251235697,-1.6760240840708927,79.90132594577649,False,True,False,True,False,False,False,False,False,False,True,False
2017,11,-1.5852546226077653,69.34858290142506,14.963350124551441,109.3778970789102,0.7458591326951497,-1.1990000349468184,73.93705558149826,False,False,False,False,False,False,False,True,False,True,False,False
2022,12,0.03075254853490416,61.47206407589885,11.304671577687982,98.59129842752296,0.5832135533249313,2.927815186233118,89.63125057886687,False,False,True,False,False,False,False,True,False,True,False,False
2024,2,-1.085235291142143,39.600436591993635,11.04597638215467,105.36083273389727,0.4678561903044947,1.0095237198595437,65.70494838986461,False,False,True,True,False,False,False,False,False,False,False,True
2019,2,0.5054960442082751,50.59747652334702,19.409683323673143,103.81259667412999,0.5483684786630081,0.22444797104701178,92.38556431824499,False,False,True,False,False,False,True,False,False,False,True,False
2022,5,0.7772165364561262,45.4982736052248,15.327285694756174,104.39851024297057,0.4733745775173507,0.032037510311895445,95.22637495369258,True,False,False,False,False,True,False,False,False,False,False,True
2017,7,1.2871702425080878,33.07683941441375,11.723778626473715,99.93779577140523,0.8139873723729327,-0.05686014709491926,90.25067471052833,False,True,False,True,False,False,False,False,False,False,False,False
2020,12,-0.5350294543083745,52.664770649319536,12.367111424479596,103.1058191419134,0.7304092702837482,-1.93374655753542,70.38258390990654,False,False,True,False,False,False,False,False,False,False,False,False
2020,3,0.9272264856887904,43.767610036412066,15.573466541808683,92.30972469910445,0.5335258479657022,-0.7723291046234922,96.93621253559975,True,False,False,False,False,False,True,False,False,True,False,False
2025,2,1.3609015874770531,35.71195000556472,8.35465092508189,90.63057155016214,0.3832345077811713,-0.11184759450465882,66.25464351240095,False,False,True,False,False,False,False,False,False,False,False,True
2018,4,-1.6432469698554668,27.813011687873573,5.5253297098400065,99.19115253195797,0.8273511438766872,-0.7158598754603867,39.1369312056235,True,False,False,False,False,True,False,False,False,False,False,True
2019,11,0.6123449200984505,26.542947496914934,14.453462154649012,94.56178895683388,0.5746031443979742,-0.5851359905494149,75.77659639766566,False,False,False,False,False,True,False,False,False,False,False,False
2020,1,0.958511253780106,44.428608084580404,12.835701987284653,111.40371338599542,0.5265698571645878,2.5587314219806183,100.0,False,False,True,False,False,False,True,False,False,True,False,False
2025,5,-0.2587263863874374,48.72357544362627,11.059928836547357,103.00115543445688,0.8289374895494125,-0.25165304156640084,77.23304891831039,True,False,False,False,False,False,False,True,False,False,False,True
2024,2,-1.2107735775251085,36.87048784756526,8.966126735685638,94.26814887903569,0.45820921359194783,0.27812000826673117,57.697597773774554,False,False,True,False,False,False,False,False,True,False,False,False
2017,2,0.9429557561096632,59.76109141485841,21.125443832124777,97.82767649195536,0.4925931577606838,0.24253628500372185,99.2173027332224,False,False,True,False,False,False,False,False,False,False,False,True
2019,12,-1.1995088275577568,49.01680187325557,12.498480830681707,101.0640526559048,0.5084633892923625,0.5894594986230834,69.97460351108333,False,False,True,False,False,False,False,False,True,False,False,False
2024,1,-0.17835143451090235,58.653279658979756,8.513509467795478,99.45597635080867,0.31301754910446866,-0.47728276587010215,84.50182358883156,False,False,True,False,False,False,True,False,False,False,False,True
2017,4,-0.040124057803329026,47.25633814718438,11.915408074785544,102.17396826347412,0.6068323657766707,1.2469812480386824,94.40015557496626,True,False,False,False,False,False,False,False,True,False,False,True
2024,11,0.7155380517039994,38.193235471893416,12.772884587592578,100.54923635569847,0.41277794595787887,0.44356219360673566,80.89405396708253,False,False,False,False,False,False,False,False,True,False,False,True
2019,8,-0.6266315595125326,51.71176356707921,7.708275567954758,88.87474601223936,0.44727008818399794,-1.2871643737246663,67.04069901656122,False,True,False,False,False,False,True,False,False,True,False,False
2025,1,-0.684583688827855,31.059882319725162,9.117055499070295,82.79276345996871,0.42320161370770054,-0.10750399922962861,73.71604365847334,False,False,True,False,False,False,False,True,False,True,False,False
2019,6,0.09891547876311091,58.09157780954972,23.671552392129932,97.01112764086407,0.4443273634052902,-0.1721483206717906,100.0,False,True,False,False,False,False,False,False,True,False,False,False
2020,12,1.0063904776197492,35.94276190230299,16.59898589344098,104.48394164078685,0.39899539647715343,-0.21816545533062276,95.96709458806049,False,False,True,False,False,False,False,False,True,True,False,False
2022,5,2.287450000653147,63.77348789800173,12.951487160913562,97.10104772349136,0.594498551971595,0.509296802223084,100.0,True,False,False,False,False,False,False,False,True,False,False,True
